﻿level6 LINK ID,연월,평일 / 주말,주요시간대,도로등급,시도명,시군구명,읍면동명,15% 주행속도 (km/h),25% 주행속도 (km/h),30% 주행속도 (km/h),50% 주행속도 (km/h),75% 주행속도 (km/h),85% 주행속도 (km/h),평균속도 (km/h),속도 표준편차 (km/h),최대속도 (km/h)
45830272601,202303,주말,7,일반국도,전라북도,전주시 덕진구,조촌동,55,62,64,68,73,76,63.77,17.15,101
45830272601,202303,주말,8,일반국도,전라북도,전주시 덕진구,조촌동,55,60,62,66,72,77,65.35,13.12,113
45830272601,202303,주말,11,일반국도,전라북도,전주시 덕진구,조촌동,74,78,79,84,88,90,82.91,7.79,112
45830272601,202303,주말,12,일반국도,전라북도,전주시 덕진구,조촌동,76,79,81,85,89,91,83.78,7.82,129
45830272601,202303,주말,17,일반국도,전라북도,전주시 덕진구,조촌동,73,76,77,83,87,89,81.46,7.9,118
45830272601,202303,주말,18,일반국도,전라북도,전주시 덕진구,조촌동,73,77,78,83,87,89,81.54,8.12,111
45830272602,202303,주말,7,일반국도,전라북도,전주시 덕진구,조촌동,76,79,81,85,88,90,83.63,7.53,117
45830272602,202303,주말,8,일반국도,전라북도,전주시 덕진구,조촌동,73,76,77,82,87,88,81.15,8,121
45830272602,202303,주말,11,일반국도,전라북도,전주시 덕진구,조촌동,74,78,80,84,88,90,82.74,7.86,121
45830272602,202303,주말,12,일반국도,전라북도,전주시 덕진구,조촌동,74,78,79,84,88,90,82.72,8.16,119
45830272602,202303,주말,17,일반국도,전라북도,전주시 덕진구,조촌동,46,50,52,57,66,72,59.37,14.14,131
45830272602,202303,주말,18,일반국도,전라북도,전주시 덕진구,조촌동,50,54,55,61,70,75,62.34,11.69,113
55121347401,202303,주말,7,시군도,전라북도,전주시 덕진구,덕진동,4,5,7,19,35,45,22.04,17.42,67
55121347401,202303,주말,8,시군도,전라북도,전주시 덕진구,덕진동,2,3,3,6,17,26,11.33,11.2,50
55121347401,202303,주말,11,시군도,전라북도,전주시 덕진구,덕진동,4,5,6,13,32,38,19.59,16.15,65
55121347401,202303,주말,12,시군도,전라북도,전주시 덕진구,덕진동,4,5,7,21,35,39,21.75,15.58,56
55121347401,202303,주말,17,시군도,전라북도,전주시 덕진구,덕진동,3,4,5,10,19,27,13.88,11.82,57
55121347401,202303,주말,18,시군도,전라북도,전주시 덕진구,덕진동,3,3,3,5,10,14,7.95,7.54,45
55121347402,202303,주말,7,시군도,전라북도,전주시 덕진구,덕진동,39,42,42,47,51,52,46.37,7.4,66
