﻿level6 LINK ID,연월,평일 / 주말,주요시간대,도로등급,시도명,시군구명,읍면동명,15% 주행속도 (km/h),25% 주행속도 (km/h),30% 주행속도 (km/h),50% 주행속도 (km/h),75% 주행속도 (km/h),85% 주행속도 (km/h),평균속도 (km/h),속도 표준편차 (km/h),최대속도 (km/h)
45830272601,202306,주말,7,일반국도,전라북도,전주시 덕진구,조촌동,60,62,64,68,73,77,68.28,8.44,98
45830272601,202306,주말,8,일반국도,전라북도,전주시 덕진구,조촌동,61,63,64,68,75,79,69.63,9.11,109
45830272601,202306,주말,11,일반국도,전라북도,전주시 덕진구,조촌동,74,78,79,84,88,90,82.68,8.04,113
45830272601,202306,주말,12,일반국도,전라북도,전주시 덕진구,조촌동,74,78,81,85,88,90,83.34,8.23,130
45830272601,202306,주말,17,일반국도,전라북도,전주시 덕진구,조촌동,74,77,79,84,88,89,82.2,7.92,111
45830272601,202306,주말,18,일반국도,전라북도,전주시 덕진구,조촌동,75,78,79,84,88,90,82.88,7.59,126
45830272602,202306,주말,7,일반국도,전라북도,전주시 덕진구,조촌동,77,81,82,85,89,90,84.4,7.52,127
45830272602,202306,주말,8,일반국도,전라북도,전주시 덕진구,조촌동,74,78,79,83,88,89,82.52,7.88,119
45830272602,202306,주말,11,일반국도,전라북도,전주시 덕진구,조촌동,74,78,79,84,88,90,82.9,8.06,124
45830272602,202306,주말,12,일반국도,전라북도,전주시 덕진구,조촌동,75,78,80,85,88,90,83.48,7.79,113
45830272602,202306,주말,17,일반국도,전라북도,전주시 덕진구,조촌동,54,58,59,63,70,77,65.15,12.61,118
45830272602,202306,주말,18,일반국도,전라북도,전주시 덕진구,조촌동,57,60,62,67,75,81,67.98,11.68,111
55121347401,202306,주말,7,시군도,전라북도,전주시 덕진구,덕진동,4,4,4,9,33,37,17.16,15.14,52
55121347401,202306,주말,8,시군도,전라북도,전주시 덕진구,덕진동,2,3,3,6,17,21,10.47,9.65,44
55121347401,202306,주말,11,시군도,전라북도,전주시 덕진구,덕진동,4,5,5,14,31,38,18.58,14.72,53
55121347401,202306,주말,12,시군도,전라북도,전주시 덕진구,덕진동,4,5,5,13,36,43,20.6,16.58,54
55121347401,202306,주말,17,시군도,전라북도,전주시 덕진구,덕진동,3,4,5,8,17,26,12.82,11.2,44
55121347401,202306,주말,18,시군도,전라북도,전주시 덕진구,덕진동,3,3,3,5,12,17,9.54,10.25,53
55121347402,202306,주말,7,시군도,전라북도,전주시 덕진구,덕진동,39,41,43,46,50,53,46.15,6.7,65
55121347402,202306,주말,8,시군도,전라북도,전주시 덕진구,덕진동,36,39,40,45,49,53,44.78,7.43,64
55121347402,202306,주말,11,시군도,전라북도,전주시 덕진구,덕진동,38,41,42,45,50,53,44.98,6.99,59
55121347402,202306,주말,12,시군도,전라북도,전주시 덕진구,덕진동,38,42,43,47,51,52,46.01,7.52,62
55121347402,202306,주말,17,시군도,전라북도,전주시 덕진구,덕진동,37,40,40,44,49,52,44.1,7.36,65
55121347402,202306,주말,18,시군도,전라북도,전주시 덕진구,덕진동,38,39,40,44,51,54,45.5,7.96,70
55121393601,202306,주말,7,시군도,전라북도,전주시 덕진구,덕진동,33,39,40,47,54,57,44.54,13.64,68
55121393601,202306,주말,8,시군도,전라북도,전주시 덕진구,덕진동,37,41,41,45,52,54,44.3,12.1,69
55121393601,202306,주말,11,시군도,전라북도,전주시 덕진구,덕진동,37,39,42,48,53,55,45.84,12.22,75
55121393601,202306,주말,12,시군도,전라북도,전주시 덕진구,덕진동,40,43,44,49,55,57,48.03,10.73,75
