﻿level6 LINK ID,연월,평일 / 주말,주요시간대,도로등급,시도명,시군구명,읍면동명,15% 주행속도 (km/h),25% 주행속도 (km/h),30% 주행속도 (km/h),50% 주행속도 (km/h),75% 주행속도 (km/h),85% 주행속도 (km/h),평균속도 (km/h),속도 표준편차 (km/h),최대속도 (km/h)
55110112201,202207,주말,7,일반국도,전라북도,전주시 완산구,평화2동,41,46,46,48,53,56,48.64,6.7,71
55110112201,202207,주말,8,일반국도,전라북도,전주시 완산구,평화2동,42,44,46,49,54,56,48.92,6.55,62
55110112201,202207,주말,11,일반국도,전라북도,전주시 완산구,평화2동,43,46,47,50,53,55,48.92,7.63,68
55110112201,202207,주말,12,일반국도,전라북도,전주시 완산구,평화2동,42,44,46,49,53,56,48.75,6.9,64
55110112201,202207,주말,17,일반국도,전라북도,전주시 완산구,평화2동,44,48,49,52,54,57,49.69,9.46,63
55110112201,202207,주말,18,일반국도,전라북도,전주시 완산구,평화2동,46,47,49,52,56,58,51.92,6.02,65
55110112301,202207,주말,7,시군도,전라북도,전주시 완산구,평화2동,81,84,86,92,100,106,93.75,12.77,141
55110112301,202207,주말,8,시군도,전라북도,전주시 완산구,평화2동,77,80,82,86,95,98,87.58,10.01,112
55110112301,202207,주말,11,시군도,전라북도,전주시 완산구,평화2동,76,80,82,91,99,103,90.56,14.39,155
55110112301,202207,주말,12,시군도,전라북도,전주시 완산구,평화2동,75,77,81,90,100,109,89.9,16.24,130
55110112301,202207,주말,17,시군도,전라북도,전주시 완산구,평화2동,86,90,91,101,107,110,98.6,14.88,135
55110112301,202207,주말,18,시군도,전라북도,전주시 완산구,평화2동,75,82,91,99,112,113,98.3,16.79,131
55110112302,202207,주말,7,시군도,전라북도,전주시 완산구,평화2동,68,73,74,84,92,93,81.93,19.33,118
55110112302,202207,주말,8,시군도,전라북도,전주시 완산구,평화2동,81,84,85,98,113,120,100.3,19.09,155
55110112302,202207,주말,11,시군도,전라북도,전주시 완산구,평화2동,78,81,83,91,103,105,93.48,16.46,140
55110112302,202207,주말,12,시군도,전라북도,전주시 완산구,평화2동,77,79,79,85,101,109,90.12,18.19,132
55110112302,202207,주말,17,시군도,전라북도,전주시 완산구,평화2동,74,78,79,89,100,106,88.16,19.57,159
55110112302,202207,주말,18,시군도,전라북도,전주시 완산구,평화2동,80,83,86,97,105,110,95.4,16.37,138
55110131601,202207,주말,8,시군도,전라북도,전주시 완산구,평화2동,31,36,36,41,44,50,40.4,6.53,50
55110131601,202207,주말,11,시군도,전라북도,전주시 완산구,평화2동,34,35,36,38,41,42,38.6,4.73,48
55110131601,202207,주말,12,시군도,전라북도,전주시 완산구,평화2동,32,34,35,37,44,45,38.18,6.33,51
55110131601,202207,주말,17,시군도,전라북도,전주시 완산구,평화2동,34,37,37,38,42,47,39.72,5.15,49
55110131601,202207,주말,18,시군도,전라북도,전주시 완산구,평화2동,38,40,41,44,49,50,44.02,6.3,56
55110131602,202207,주말,7,시군도,전라북도,전주시 완산구,평화2동,38,40,40,44,48,50,43.88,6.57,57
55110131602,202207,주말,8,시군도,전라북도,전주시 완산구,평화2동,31,37,38,42,48,49,40.57,12.55,67
55110131602,202207,주말,11,시군도,전라북도,전주시 완산구,평화2동,36,36,36,41,45,54,43.75,9.78,70
55110131602,202207,주말,12,시군도,전라북도,전주시 완산구,평화2동,30,34,34,38,42,47,38.07,7.24,52
55110131602,202207,주말,17,시군도,전라북도,전주시 완산구,평화2동,34,35,37,40,45,47,40.53,5.87,54
55110131602,202207,주말,18,시군도,전라북도,전주시 완산구,평화2동,37,40,40,42,48,50,44.42,9.35,69
55110152001,202207,주말,7,일반국도,전라북도,전주시 완산구,평화2동,80,84,86,95,105,109,95.12,13.59,142
55110152001,202207,주말,8,일반국도,전라북도,전주시 완산구,평화2동,81,85,87,94,103,109,94.81,13.21,145
55110152001,202207,주말,11,일반국도,전라북도,전주시 완산구,평화2동,83,87,89,97,106,112,96.79,13.54,138
55110152001,202207,주말,12,일반국도,전라북도,전주시 완산구,평화2동,82,87,88,95,103,107,95,12.03,130
55110152001,202207,주말,17,일반국도,전라북도,전주시 완산구,평화2동,82,88,90,98,108,112,97.4,14,130
