﻿level6 LINK ID,연월,평일 / 주말,주요시간대,도로등급,시도명,시군구명,읍면동명,15% 주행속도 (km/h),25% 주행속도 (km/h),30% 주행속도 (km/h),50% 주행속도 (km/h),75% 주행속도 (km/h),85% 주행속도 (km/h),평균속도 (km/h),속도 표준편차 (km/h),최대속도 (km/h)
45830272601,202207,평일,7,일반국도,전라북도,전주시 덕진구,조촌동,77,79,81,86,89,90,84.21,7.46,109
45830272601,202207,평일,8,일반국도,전라북도,전주시 덕진구,조촌동,78,82,83,86,90,91,85.62,8.41,126
45830272601,202207,평일,11,일반국도,전라북도,전주시 덕진구,조촌동,74,78,79,84,88,89,82.64,7.74,120
45830272601,202207,평일,12,일반국도,전라북도,전주시 덕진구,조촌동,76,79,80,84,87,90,83.29,8.09,130
45830272601,202207,평일,17,일반국도,전라북도,전주시 덕진구,조촌동,75,78,80,84,88,89,82.84,6.89,108
45830272601,202207,평일,18,일반국도,전라북도,전주시 덕진구,조촌동,75,79,80,84,87,89,82.81,7.35,128
45830272602,202207,평일,7,일반국도,전라북도,전주시 덕진구,조촌동,82,84,85,87,90,91,87.09,7.03,114
45830272602,202207,평일,8,일반국도,전라북도,전주시 덕진구,조촌동,80,83,83,87,89,90,85.76,6.87,115
45830272602,202207,평일,11,일반국도,전라북도,전주시 덕진구,조촌동,77,80,82,85,88,90,84.04,6.87,123
45830272602,202207,평일,12,일반국도,전라북도,전주시 덕진구,조촌동,77,81,82,85,88,90,84.09,6.82,111
45830272602,202207,평일,17,일반국도,전라북도,전주시 덕진구,조촌동,73,77,79,83,87,90,82.41,7.69,118
45830272602,202207,평일,18,일반국도,전라북도,전주시 덕진구,조촌동,75,78,79,83,87,90,82.67,7.51,125
55121347401,202207,평일,7,시군도,전라북도,전주시 덕진구,덕진동,10,19,19,37,38,44,29.6,12.88,44
55121347401,202207,평일,8,시군도,전라북도,전주시 덕진구,덕진동,4,5,6,18,31,33,17.73,12.75,39
55121347401,202207,평일,11,시군도,전라북도,전주시 덕진구,덕진동,5,6,6,11,32,35,18.03,15.26,61
55121347401,202207,평일,12,시군도,전라북도,전주시 덕진구,덕진동,4,5,5,13,34,36,18.19,14.5,48
55121347401,202207,평일,17,시군도,전라북도,전주시 덕진구,덕진동,4,6,6,9,32,41,18.69,15.62,52
55121347401,202207,평일,18,시군도,전라북도,전주시 덕진구,덕진동,4,5,5,14,32,34,18.6,14.64,49
55121347402,202207,평일,7,시군도,전라북도,전주시 덕진구,덕진동,30,37,37,43,49,50,43,7.37,50
55121347402,202207,평일,8,시군도,전라북도,전주시 덕진구,덕진동,32,39,43,45,51,54,44.58,9.96,57
55121347402,202207,평일,11,시군도,전라북도,전주시 덕진구,덕진동,41,41,42,43,49,53,45.15,7.27,59
55121347402,202207,평일,12,시군도,전라북도,전주시 덕진구,덕진동,38,40,40,43,45,49,43.95,6.33,63
55121347402,202207,평일,17,시군도,전라북도,전주시 덕진구,덕진동,41,41,42,46,48,51,45.44,4.94,55
55121347402,202207,평일,18,시군도,전라북도,전주시 덕진구,덕진동,39,39,40,46,51,52,45,6.63,56
55121393601,202207,평일,7,시군도,전라북도,전주시 덕진구,덕진동,38,41,41,52,54,58,48.6,7.74,58
55121393601,202207,평일,8,시군도,전라북도,전주시 덕진구,덕진동,25,42,42,53,54,58,46.69,13.12,62
55121393601,202207,평일,11,시군도,전라북도,전주시 덕진구,덕진동,37,38,41,49,57,60,48.19,10.84,69
55121393601,202207,평일,12,시군도,전라북도,전주시 덕진구,덕진동,41,45,45,49,52,57,48.95,9.53,75
55121393601,202207,평일,17,시군도,전라북도,전주시 덕진구,덕진동,45,46,46,48,52,55,48.82,5.37,57
55121393601,202207,평일,18,시군도,전라북도,전주시 덕진구,덕진동,39,47,48,49,54,56,48.27,10.48,70
55121393602,202207,평일,7,시군도,전라북도,전주시 덕진구,덕진동,31,39,39,47,49,57,44.6,8.89,57
55121393602,202207,평일,8,시군도,전라북도,전주시 덕진구,덕진동,35,36,42,43,49,49,41.87,6.28,50
55121393602,202207,평일,11,시군도,전라북도,전주시 덕진구,덕진동,30,31,33,38,44,46,38.39,8.85,65
55121393602,202207,평일,12,시군도,전라북도,전주시 덕진구,덕진동,29,33,34,38,42,44,37.65,6.82,52
55121393602,202207,평일,17,시군도,전라북도,전주시 덕진구,덕진동,37,43,44,45,48,54,44.92,10.26,65
55121393602,202207,평일,18,시군도,전라북도,전주시 덕진구,덕진동,28,33,35,40,45,46,38.34,9.79,53
55121630401,202207,평일,7,지방도,전라북도,전주시 덕진구,혁신동,46,48,48,50,54,55,51.03,4.69,64
55121630401,202207,평일,8,지방도,전라북도,전주시 덕진구,혁신동,46,48,49,51,55,57,51.56,5.47,65
55121630401,202207,평일,11,지방도,전라북도,전주시 덕진구,혁신동,45,46,47,49,54,56,50.35,5.99,71
55121630401,202207,평일,12,지방도,전라북도,전주시 덕진구,혁신동,45,47,48,49,53,55,50.12,4.91,67
55121630401,202207,평일,17,지방도,전라북도,전주시 덕진구,혁신동,46,47,48,50,53,55,50.53,5.35,74
55121630401,202207,평일,18,지방도,전라북도,전주시 덕진구,혁신동,46,47,48,50,53,55,50.22,4.69,64
55121630901,202207,평일,7,일반국도,전라북도,전주시 덕진구,혁신동,85,91,94,101,111,121,102.19,17.14,152
55121630901,202207,평일,8,일반국도,전라북도,전주시 덕진구,혁신동,80,83,85,93,104,109,94.46,13.48,133
55121630901,202207,평일,11,일반국도,전라북도,전주시 덕진구,혁신동,84,88,90,97,104,109,96.22,12.73,145
55121630901,202207,평일,12,일반국도,전라북도,전주시 덕진구,혁신동,83,88,89,95,103,107,95.79,11.96,127
55121630901,202207,평일,17,일반국도,전라북도,전주시 덕진구,혁신동,84,88,91,97,105,110,96.83,12.43,125
55121630901,202207,평일,18,일반국도,전라북도,전주시 덕진구,혁신동,83,88,90,99,109,115,99.1,16.38,143
55121630902,202207,평일,7,일반국도,전라북도,전주시 덕진구,혁신동,70,72,74,80,88,92,81.41,12.22,132
