﻿level6 LINK ID,연월,평일 / 주말,주요시간대,도로등급,시도명,시군구명,읍면동명,15% 주행속도 (km/h),25% 주행속도 (km/h),30% 주행속도 (km/h),50% 주행속도 (km/h),75% 주행속도 (km/h),85% 주행속도 (km/h),평균속도 (km/h),속도 표준편차 (km/h),최대속도 (km/h)
55110112201,202303,주말,7,일반국도,전라북도,전주시 완산구,평화2동,41,44,46,50,54,56,48.89,8.31,70
55110112201,202303,주말,8,일반국도,전라북도,전주시 완산구,평화2동,40,44,45,50,54,57,48.67,8.38,70
55110112201,202303,주말,11,일반국도,전라북도,전주시 완산구,평화2동,43,46,47,49,55,57,49.85,7.42,68
55110112201,202303,주말,12,일반국도,전라북도,전주시 완산구,평화2동,42,46,47,50,55,57,49.9,6.9,69
55110112201,202303,주말,17,일반국도,전라북도,전주시 완산구,평화2동,44,47,48,52,55,57,51.36,7.4,71
55110112201,202303,주말,18,일반국도,전라북도,전주시 완산구,평화2동,44,47,48,51,55,58,50.71,6.91,67
55110112301,202303,주말,7,시군도,전라북도,전주시 완산구,평화2동,81,86,88,93,98,103,92.19,12.6,133
55110112301,202303,주말,8,시군도,전라북도,전주시 완산구,평화2동,80,84,85,93,99,106,91.72,13.94,122
55110112301,202303,주말,11,시군도,전라북도,전주시 완산구,평화2동,74,78,80,89,101,106,90.17,15.45,138
55110112301,202303,주말,12,시군도,전라북도,전주시 완산구,평화2동,77,81,82,90,101,105,90.8,14.6,146
55110112301,202303,주말,17,시군도,전라북도,전주시 완산구,평화2동,78,85,88,97,113,115,97.48,15.17,128
55110112301,202303,주말,18,시군도,전라북도,전주시 완산구,평화2동,81,84,85,95,106,112,95.45,13.9,125
55110112302,202303,주말,7,시군도,전라북도,전주시 완산구,평화2동,75,82,84,91,107,113,91.83,20.24,131
55110112302,202303,주말,8,시군도,전라북도,전주시 완산구,평화2동,80,83,84,99,106,114,96.75,16,137
55110112302,202303,주말,11,시군도,전라북도,전주시 완산구,평화2동,75,80,83,88,100,103,88.93,16.13,125
55110112302,202303,주말,12,시군도,전라북도,전주시 완산구,평화2동,77,82,83,90,105,108,92.37,16.9,140
55110112302,202303,주말,17,시군도,전라북도,전주시 완산구,평화2동,77,84,87,95,106,110,93.84,16.66,127
55110112302,202303,주말,18,시군도,전라북도,전주시 완산구,평화2동,74,77,80,91,101,106,89.15,18.34,141
55110131601,202303,주말,7,시군도,전라북도,전주시 완산구,평화2동,31,35,39,44,48,52,43.53,8.41,63
