index,geometry,인구수,건물수,공시지가,교통혼잡도,주차구획수,불법주정차,행정동명,value
0,"POLYGON ((127.1247295340419 35.818968097442486, 127.125627849326 35.818968097442486, 127.125627849326 35.818239677077614, 127.1247295340419 35.818239677077614, 127.1247295340419 35.818968097442486))",0.41120607787274455,0.20270270270270271,0.09930344706591426,0.6444883583172052,,,중화산2동,0.3341276430967684
1,"POLYGON ((127.1247295340419 35.818239677077614, 127.125627849326 35.818239677077614, 127.125627849326 35.817511250029206, 127.1247295340419 35.817511250029206, 127.1247295340419 35.818239677077614))",0.5280151946818614,0.2972972972972973,0.14400801544788458,0.6444883583172052,,,중화산2동,0.37427788096713294
2,"POLYGON ((127.1247295340419 35.817511250029206, 127.125627849326 35.817511250029206, 127.125627849326 35.816782816297334, 127.1247295340419 35.816782816297334, 127.1247295340419 35.817511250029206))",0.5280151946818614,0.2972972972972973,0.23056098320017432,0.6444883583172052,,,중화산1동,0.3860490845814443
3,"POLYGON ((127.1247295340419 35.816782816297334, 127.125627849326 35.816782816297334, 127.125627849326 35.816054375882025, 127.1247295340419 35.816054375882025, 127.1247295340419 35.816782816297334))",0.09876543209876544,0.22972972972972974,0.28172989064746196,0.6444883583172052,,,중화산1동,0.3212954331149859
4,"POLYGON ((127.125627849326 35.818239677077614, 127.12652616461013 35.818239677077614, 127.12652616461013 35.817511250029206, 127.125627849326 35.817511250029206, 127.125627849326 35.818239677077614))",0.5280151946818614,0.22972972972972974,0.13487664629338172,0.6444883583172052,,,중화산2동,0.36013060935671515
5,"POLYGON ((127.125627849326 35.817511250029206, 127.12652616461013 35.817511250029206, 127.12652616461013 35.816782816297334, 127.125627849326 35.816782816297334, 127.125627849326 35.817511250029206))",0.5280151946818614,0.22972972972972974,0.16198187231849306,0.6444883583172052,,,중화산1동,0.36381692009613026
6,"POLYGON ((127.17234024410021 35.8131405473877, 127.17323855938433 35.8131405473877, 127.17323855938433 35.812412073556125, 127.17234024410021 35.812412073556125, 127.17234024410021 35.8131405473877))",0.0,0.0,0.0,0.4283166107082237,,,우아2동,0.1499108137478783
7,"POLYGON ((127.125627849326 35.79784119355193, 127.12652616461013 35.79784119355193, 127.12652616461013 35.79711257938744, 127.125627849326 35.79711257938744, 127.125627849326 35.79784119355193))",0.34093067426400764,0.22972972972972974,0.1716484461597143,0.31042128621886333,,,삼천1동,0.22257751960687072
8,"POLYGON ((127.125627849326 35.79711257938744, 127.12652616461013 35.79711257938744, 127.12652616461013 35.796383958541035, 127.125627849326 35.796383958541035, 127.125627849326 35.79711257938744))",0.34093067426400764,0.22972972972972974,0.1716484461597143,0.31042128621886333,,,삼천1동,0.22257751960687072
9,"POLYGON ((127.125627849326 35.796383958541035, 127.12652616461013 35.796383958541035, 127.12652616461013 35.79565533101281, 127.125627849326 35.79565533101281, 127.125627849326 35.796383958541035))",0.34093067426400764,0.3648648648648649,0.1716484461597143,0.31042128621886333,,,삼천2동,0.24838833041768155
10,"POLYGON ((127.125627849326 35.79565533101281, 127.12652616461013 35.79565533101281, 127.12652616461013 35.79492669680279, 127.125627849326 35.79492669680279, 127.125627849326 35.79565533101281))",0.22697056030389365,0.5,0.138857906897648,0.31042128621886333,,,삼천2동,0.2541270922763157
11,"POLYGON ((127.125627849326 35.83790468082313, 127.12652616461013 35.83790468082313, 127.12652616461013 35.83717643424998, 127.125627849326 35.83717643424998, 127.125627849326 35.83790468082313))",0.006647673314339981,0.05405405405405406,0.27227231187771095,0.0,,,금암1동,0.0482640899837576
12,"POLYGON ((127.125627849326 35.83280681442808, 127.12652616461013 35.83280681442808, 127.12652616461013 35.832078521061106, 127.125627849326 35.832078521061106, 127.125627849326 35.83280681442808))",0.4197530864197531,0.04054054054054054,0.13440988948103266,0.36398904737035553,,,서신동,0.2109253276317943
13,"POLYGON ((127.125627849326 35.832078521061106, 127.12652616461013 35.832078521061106, 127.12652616461013 35.83135022100954, 127.125627849326 35.83135022100954, 127.125627849326 35.832078521061106))",0.4197530864197531,0.16216216216216217,0.18620829848903983,0.2638148049865445,,,서신동,0.20613865615227914
14,"POLYGON ((127.125627849326 35.83135022100954, 127.12652616461013 35.83135022100954, 127.12652616461013 35.830621914273415, 127.125627849326 35.830621914273415, 127.125627849326 35.83135022100954))",0.40645773979107314,0.16216216216216217,0.18620829848903983,0.2638148049865445,,,서신동,0.20431719366415
15,"POLYGON ((127.125627849326 35.830621914273415, 127.12652616461013 35.830621914273415, 127.12652616461013 35.82989360085279, 127.125627849326 35.82989360085279, 127.125627849326 35.830621914273415))",0.5128205128205129,0.16216216216216217,0.18620829848903983,0.2638148049865445,,,서신동,0.21888889356918326
16,"POLYGON ((127.125627849326 35.833535101110385, 127.12652616461013 35.833535101110385, 127.12652616461013 35.83280681442808, 127.125627849326 35.83280681442808, 127.125627849326 35.833535101110385))",0.19943019943019943,0.04054054054054054,0.10313720746444331,0.36398904737035553,,,서신동,0.1764880073599693
17,"POLYGON ((127.125627849326 35.826980280326495, 127.12652616461013 35.826980280326495, 127.12652616461013 35.82625193348425, 127.125627849326 35.82625193348425, 127.125627849326 35.826980280326495))",0.23836657169990505,0.14864864864864866,0.07088615901817578,0.2638148049865445,,,서신동,0.1630238115865414
18,"POLYGON ((127.125627849326 35.82625193348425, 127.12652616461013 35.82625193348425, 127.12652616461013 35.82552357995784, 127.125627849326 35.82552357995784, 127.125627849326 35.82625193348425))",0.0,0.05405405405405406,0.06047061514221461,0.6444883583172052,,,서신동,0.24411925339468732
