,ADM_NM,PARK_COUNT,TRAFFIC,POP,PRICE,ILLEGAL
0,금암1동,0.040889957907396274,0.4879989996273931,0.07059631003546157,0.28474792914011027,0.5882352941176471
1,금암2동,0.0,0.5590584499279158,0.09622015590018468,0.28474792914011027,0.5882352941176471
2,노송동,0.24533974744437764,0.6033738730706268,0.1118591995816515,0.23040797549303635,0.058823529411764705
3,덕진동,1.0,0.4298759032467392,0.27745003513473765,0.29002500053649216,0.1764705882352941
4,동서학동,0.4197233914612147,0.2905298606945791,0.036523785400290894,0.1138724811691238,0.0
5,삼천1동,0.027660853878532773,0.6076015357956951,0.1303580474890919,0.11135767398442029,0.058823529411764705
6,삼천2동,0.11665664461815996,0.6469350087084024,0.14511463729511545,0.11135767398442029,0.0
7,서서학동,0.025856885147324114,0.48229296710624403,0.070890461327276,0.14814427348226358,0.0
8,서신동,0.11304870715574264,0.6230724436936081,0.5807363587338421,0.4174372035880598,0.47058823529411764
9,송천1동,0.06855081178592905,0.8208106866735972,1.0,0.2688798311122556,0.11764705882352941
10,송천2동,0.12206855081178594,0.478573248460872,0.35334106842285884,0.2688798311122556,0.11764705882352941
11,여의동,0.027059530968129887,0.0871469298600969,0.20155900184661646,0.13877510783493208,0.1764705882352941
12,우아1동,0.04630186410102225,0.8615891212346728,0.1362574150638145,0.13736279212000257,0.0
13,우아2동,0.22188815393866507,0.6048184717847506,0.1685486902096645,0.13736279212000257,0.1764705882352941
14,인후1동,0.11605532170775706,0.5393508856632332,0.2234896148252251,0.2494849674885727,0.11764705882352941
15,인후2동,0.015634395670475046,0.5684378130404923,0.10970209010834572,0.2494849674885727,0.058823529411764705
16,인후3동,0.022248947684906796,0.7226970684539813,0.43585050577680456,0.2494849674885727,0.0
17,조촌동,0.03126879134095009,0.3687612522029523,0.13812037324530585,0.0,0.29411764705882354
18,중앙동,0.15935057125676488,0.9999999999999999,0.09940679489484092,0.6765984785081225,0.6470588235294118
19,중화산1동,0.03367408298256164,0.6625720086524729,0.16168516006732797,0.3564501115903774,0.11764705882352941
20,중화산2동,0.10162357185808779,0.8179776838143012,0.2524471753305117,0.3564501115903774,0.23529411764705882
21,진북동,0.04630186410102225,0.6743617560056873,0.15124278920791595,0.22813861348955985,0.1764705882352941
22,팔복동,0.004810583283223091,0.24645590957425498,0.06340594512444234,0.09181393377540292,0.058823529411764705
23,평화1동,0.025255562236921228,0.8015001255177092,0.1363554654944193,0.1813766121590592,0.11764705882352941
24,풍남동,0.18941671677690922,0.707297532786208,0.0,1.0,0.1764705882352941
25,혁신동,0.11785929043896573,0.0,0.5281159609759287,0.19142980536063006,0.058823529411764705
26,호성동,0.01803968731208659,0.742808626411533,0.24667854166326214,0.06858851584797956,0.11764705882352941
27,효자3동,0.00661455201443175,0.7785627824901231,0.1682055137025477,0.3920175325650765,1.0
28,효자4동,0.12146722790138305,0.4924208407544174,0.5720098704100143,0.3920175325650765,0.0
29,효자5동,0.46542393265183407,0.5877982758450571,0.532413838184106,0.3920175325650765,0.0
30,삼천3동,0.0,0.3610696886918747,0.2810942428055497,0.11135767398442029,0.0
31,완산동,0.0,0.8591779216941874,0.021015475626297124,0.15451377711968067,0.0
32,평화2동,0.0,0.4583646773250877,0.6503685062016898,0.1813766121590592,0.058823529411764705
33,효자1동,0.0,0.5212199125075752,0.15246841959047605,0.3920175325650765,0.11764705882352941
34,효자2동,0.0,0.7488265990845465,0.09121958393933946,0.3920175325650765,0.4117647058823529
