주차장명,연도,월,시간대,진입차량수(정기권),진입차량수(일반),진입차량수(면제),진출차량수(정기권),진출차량수(일반),진출차량수(면제),도로명주소,지번주소,위도,경도
실내체육관,2020,02,03:00 ~ 04:00,0,8,0,4,67,0,전북특별자치도 전주시 덕진구 권삼득로 308,전북특별자치도 전주시 덕진구 금암동 664-51,35.84420805,127.1292609
실내체육관,2020,02,04:00 ~ 05:00,0,5,0,18,44,0,전북특별자치도 전주시 덕진구 권삼득로 308,전북특별자치도 전주시 덕진구 금암동 664-51,35.84420805,127.1292609
실내체육관,2020,02,05:00 ~ 06:00,0,2,1,4,20,0,전북특별자치도 전주시 덕진구 권삼득로 308,전북특별자치도 전주시 덕진구 금암동 664-51,35.84420805,127.1292609
실내체육관,2020,02,06:00 ~ 07:00,2,18,0,3,30,0,전북특별자치도 전주시 덕진구 권삼득로 308,전북특별자치도 전주시 덕진구 금암동 664-51,35.84420805,127.1292609
실내체육관,2020,02,07:00 ~ 08:00,31,126,0,9,201,3,전북특별자치도 전주시 덕진구 권삼득로 308,전북특별자치도 전주시 덕진구 금암동 664-51,35.84420805,127.1292609
실내체육관,2020,02,08:00 ~ 09:00,77,214,29,4,42,2,전북특별자치도 전주시 덕진구 권삼득로 308,전북특별자치도 전주시 덕진구 금암동 664-51,35.84420805,127.1292609
실내체육관,2020,02,09:00 ~ 10:00,187,546,8,15,94,0,전북특별자치도 전주시 덕진구 권삼득로 308,전북특별자치도 전주시 덕진구 금암동 664-51,35.84420805,127.1292609
실내체육관,2020,02,10:00 ~ 11:00,160,858,8,16,262,6,전북특별자치도 전주시 덕진구 권삼득로 308,전북특별자치도 전주시 덕진구 금암동 664-51,35.84420805,127.1292609
실내체육관,2020,02,11:00 ~ 12:00,93,1400,17,37,569,4,전북특별자치도 전주시 덕진구 권삼득로 308,전북특별자치도 전주시 덕진구 금암동 664-51,35.84420805,127.1292609
실내체육관,2020,02,12:00 ~ 13:00,47,1975,12,36,1185,15,전북특별자치도 전주시 덕진구 권삼득로 308,전북특별자치도 전주시 덕진구 금암동 664-51,35.84420805,127.1292609
실내체육관,2020,02,13:00 ~ 14:00,72,1561,10,38,1625,27,전북특별자치도 전주시 덕진구 권삼득로 308,전북특별자치도 전주시 덕진구 금암동 664-51,35.84420805,127.1292609
실내체육관,2020,02,14:00 ~ 15:00,38,1582,8,23,1440,8,전북특별자치도 전주시 덕진구 권삼득로 308,전북특별자치도 전주시 덕진구 금암동 664-51,35.84420805,127.1292609
